E,px,py,pz
1539.85,385.5,-344.88,1361.47
620.29,-26.22,-363.69,42.45
879.76,372.86,444.13,433.24
981.08,-81.8,-271.33,795.12
756.39,-57.96,564.29,-18.3
640.11,359.63,174.16,8.49
696.5,453.69,135.99,103.86
1692.32,1326.45,-543.99,-747.36
974.44,8.52,-13.51,836.23
1861.62,131.78,125.16,1783.98
650.75,290.58,-295.7,-40.06
1764.54,-51.21,406.95,1641.76
554.18,-36.96,119.47,203.66
569.99,-123.98,74.28,-232.37
1506.41,-373.38,-384.61,-1316.03
2227.09,124.72,-468.48,2115.4
1003.7,-111.1,-168.0,-846.67
1835.42,-1053.31,1262.9,643.71
1431.16,226.43,-15.85,1321.63
1031.12,707.94,545.51,120.16
568.68,-36.88,-82.89,-255.27
588.93,-250.9,-72.02,-169.4
631.57,351.78,0.65,-158.51
760.47,561.42,-57.78,98.91
701.34,264.2,-18.51,-414.41
512.9,50.22,68.02,-76.91
1035.42,-266.44,-141.61,-855.02
634.38,-282.84,-203.35,-176.31
537.49,159.93,25.15,-112.65
2192.66,331.53,-9.16,2108.97
638.03,278.15,-246.72,137.25
1095.07,320.23,102.37,914.41
1304.61,182.42,12.82,1191.03
670.55,372.0,3.32,247.47
1039.43,144.89,-229.25,-869.98
2430.59,-1019.54,-536.95,2080.86
1192.38,412.2,-114.67,994.35
956.39,-525.03,81.87,618.32
1434.08,-731.57,-541.87,988.82
651.55,-287.66,-200.7,226.92
633.25,318.1,-89.4,204.52
1102.3,761.05,-94.43,-613.97
659.8,208.63,215.3,-308.96
517.33,-55.97,-115.2,-34.97
851.6,226.56,-424.27,493.84
743.53,513.55,-96.56,172.57
1353.13,21.25,-210.59,-1239.41
805.78,-345.51,-333.71,410.54
694.63,437.11,160.46,125.31
510.76,89.35,4.54,53.59
765.29,-70.49,444.21,365.2
513.79,-71.94,-81.25,46.97
1529.99,654.25,-665.84,1104.3
541.39,-163.84,64.28,110.12
1024.2,-61.74,248.4,856.43
789.53,-96.41,-209.63,565.79
1695.69,-589.4,-275.87,1483.88
