EventID,PID,Layer,r[cm],phi,z[cm],E[GeV],px[GeV],py[GeV],pz[GeV]
9,8,2,51.4,-1.1070512544,-12.84,753.19,244.3,-488.86,-136.49
9,8,1,51.4,2.0339817770999997,-6.36,743.81,-244.3,488.86,-67.68
10,1,1,3.1,-0.2161286,-1.6400000000000001,739.63,471.42,-103.53,-253.17
10,1,2,3.1,2.9580586,-1.48,706.72,-442.25,82.33,-217.01
10,2,1,5.05,-0.21584158199999998,-2.64,739.63,471.42,-103.53,-253.17
10,2,2,5.05,2.9574257129999997,-2.44,706.72,-442.25,82.33,-217.01
10,3,1,8.85,-0.216384276,-4.64,739.63,471.42,-103.53,-253.17
10,3,2,8.85,2.95762842,-4.28,706.72,-442.25,82.33,-217.01
10,4,1,12.25,-0.21632639,-6.44,739.63,471.42,-103.53,-253.17
10,4,2,12.25,2.9575490980000003,-5.92,706.72,-442.25,82.33,-217.01
10,5,1,29.9,-0.216393936,-15.68,739.63,471.42,-103.53,-253.17
10,5,2,29.9,2.957762832,-14.44,706.72,-442.25,82.33,-217.01
10,6,1,37.1,-0.2164636004,-19.48,739.63,471.42,-103.53,-253.17
10,6,2,37.1,2.9578165550000004,-17.92,706.72,-442.25,82.33,-217.01
10,7,1,44.3,-0.216433308,-23.240000000000002,739.63,471.42,-103.53,-253.17
10,7,2,44.3,2.9578451265999997,-21.400000000000002,706.72,-442.25,82.33,-217.01
10,8,1,51.4,-0.2165020767,-27,739.63,471.42,-103.53,-253.17
10,8,2,51.4,2.9578694964,-24.84,706.72,-442.25,82.33,-217.01
11,1,1,3.1,2.5048337,2,701.6,-332.2,245.57,267.54
11,1,2,3.1,-0.6370955,3.04,764.84,332.2,-245.57,405.37
11,2,1,5.05,2.50495047,3.2800000000000002,701.6,-332.2,245.57,267.54
11,2,2,5.05,-0.636633657,4.96,764.84,332.2,-245.57,405.37
11,3,1,8.85,2.505085848,5.72,701.6,-332.2,245.57,267.54
11,3,2,8.85,-0.6367234439999999,8.68,764.84,332.2,-245.57,405.37
11,4,1,12.25,2.5048963310000003,7.92,701.6,-332.2,245.57,267.54
11,4,2,12.25,-0.636326117,12.040000000000001,764.84,332.2,-245.57,405.37
11,5,1,29.9,2.504847936,19.400000000000002,701.6,-332.2,245.57,267.54
11,5,2,29.9,-0.6363323519999999,29.36,764.84,332.2,-245.57,405.37
11,6,1,37.1,2.5047276302,24.04,701.6,-332.2,245.57,267.54
11,6,2,37.1,-0.6362856806,36.44,764.84,332.2,-245.57,405.37
11,7,1,44.3,2.504716669,28.72,701.6,-332.2,245.57,267.54
11,7,2,44.3,-0.6362525259999999,43.52,764.84,332.2,-245.57,405.37
11,8,1,51.4,2.5046240855999997,33.32,701.6,-332.2,245.57,267.54
11,8,2,51.4,-0.6362105022,50.480000000000004,764.84,332.2,-245.57,405.37
12,1,2,3.1,1.4467713,-1.48,582.78,33.29,267.9,-129.45
12,1,1,3.1,-1.6951579,1,574.89,-33.29,-267.9,87.3
12,2,2,5.05,1.4475247379999998,-2.44,582.78,33.29,267.9,-129.45
12,2,1,5.05,-1.694059389,1.6400000000000001,574.89,-33.29,-267.9,87.3
12,3,2,8.85,1.447458264,-4.24,582.78,33.29,267.9,-129.45
12,3,1,8.85,-1.6943510279999998,2.88,574.89,-33.29,-267.9,87.3
12,4,2,12.25,1.447345998,-5.88,582.78,33.29,267.9,-129.45
